schemaVersion,recordType,source_name,source_url,entityName,employeeCount,collectedAt
1.0,STARTUP,Official Company Website,https://openai.com,OpenAI,,2026-09-03T16:43:03.758208+00:00
1.0,STARTUP,Official Company Website,https://www.anthropic.com,Anthropic,,2026-09-03T16:43:03.761030+00:00
1.0,STARTUP,Official Company Website,https://www.perplexity.ai,Perplexity,,2026-09-03T16:43:03.761084+00:00
1.0,STARTUP,Official Company Website,https://cohere.com,Cohere,,2026-09-03T16:43:03.761119+00:00
1.0,STARTUP,Official Company Website,https://mistral.ai,Mistral AI,,2026-09-03T16:43:03.761150+00:00
1.0,STARTUP,Official Company Website,https://huggingface.co,Hugging Face,,2026-09-03T16:43:03.761180+00:00
1.0,STARTUP,Official Company Website,https://stability.ai,Stability AI,,2026-09-03T16:43:03.761218+00:00
1.0,STARTUP,Official Company Website,https://www.midjourney.com,Midjourney,,2026-09-03T16:43:03.761249+00:00
1.0,STARTUP,Official Company Website,https://runwayml.com,Runway,,2026-09-03T16:43:03.761277+00:00
1.0,STARTUP,Official Company Website,https://elevenlabs.io,ElevenLabs,,2026-09-03T16:43:03.761306+00:00
1.0,STARTUP,Official Company Website,https://scale.com,Scale AI,,2026-09-03T16:43:03.761334+00:00
1.0,STARTUP,Official Company Website,https://x.ai,xAI,,2026-09-03T16:43:03.761363+00:00
1.0,STARTUP,Official Company Website,https://deepmind.google,DeepMind,,2026-09-03T16:43:03.761391+00:00
1.0,STARTUP,Official Company Website,https://www.together.ai,Together AI,,2026-09-03T16:43:03.761419+00:00
1.0,STARTUP,Official Company Website,https://www.glean.com,Glean,,2026-09-03T16:43:03.761447+00:00
1.0,STARTUP,Official Company Website,https://www.adept.ai,Adept,,2026-09-03T16:43:03.761479+00:00
1.0,STARTUP,Official Company Website,https://character.ai,Character AI,,2026-09-03T16:43:03.761509+00:00
1.0,STARTUP,Official Company Website,https://pika.art,Pika Labs,,2026-09-03T16:43:03.761537+00:00
1.0,STARTUP,Official Company Website,https://replit.com,Replit,,2026-09-03T16:43:03.761565+00:00
1.0,STARTUP,Official Company Website,https://wandb.ai,Weights & Biases,,2026-09-03T16:43:03.761592+00:00
1.0,STARTUP,Official Company Website,https://openai.com,OpenAI,,2026-09-03T16:43:03.761620+00:00
1.0,STARTUP,Official Company Website,https://www.anthropic.com,Anthropic,,2026-09-03T16:43:03.761647+00:00
1.0,STARTUP,Official Company Website,https://www.perplexity.ai,Perplexity,,2026-09-03T16:43:03.761674+00:00
1.0,STARTUP,Official Company Website,https://cohere.com,Cohere,,2026-09-03T16:43:03.761701+00:00
1.0,STARTUP,Official Company Website,https://mistral.ai,Mistral AI,,2026-09-03T16:43:03.761728+00:00
1.0,STARTUP,Official Company Website,https://huggingface.co,Hugging Face,,2026-09-03T16:43:03.761761+00:00
1.0,STARTUP,Official Company Website,https://stability.ai,Stability AI,,2026-09-03T16:43:03.761792+00:00
1.0,STARTUP,Official Company Website,https://www.midjourney.com,Midjourney,,2026-09-03T16:43:03.761820+00:00
1.0,STARTUP,Official Company Website,https://runwayml.com,Runway,,2026-09-03T16:43:03.761854+00:00
1.0,STARTUP,Official Company Website,https://elevenlabs.io,ElevenLabs,,2026-09-03T16:43:03.761882+00:00
1.0,STARTUP,Official Company Website,https://scale.com,Scale AI,,2026-09-03T16:43:03.761911+00:00
1.0,STARTUP,Official Company Website,https://x.ai,xAI,,2026-09-03T16:43:03.761938+00:00
